nombre,rut,curso,seccion,asignatura,tipo,fecha,nota,tema
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,20,Hábitat de animales
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,15,Seres vivos
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,46,Plantas y partes
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,72,Cinco sentidos
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,47,Ciclo del agua
Tomás González Ramírez,10000009-1,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,1,Hábitat de animales
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,89,Mi familia
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,63,Mi comunidad
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,27,Ubicación espacial
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,100,Tradiciones
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,92,Símbolos patrios
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,50,Mi familia
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,55,Mi comunidad
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,67,Ubicación espacial
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,44,Tradiciones
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,23,Símbolos patrios
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,23,Mi familia
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,82,Mi comunidad
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,48,Ubicación espacial
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,51,Tradiciones
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,58,Símbolos patrios
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,88,Mi familia
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,72,Mi comunidad
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,60,Ubicación espacial
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,35,Tradiciones
Tomás González Ramírez,10000009-1,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,14,Símbolos patrios
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,59,Comprensión lectora
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,65,Escritura básica
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,30,Vocales y consonantes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,53,Palabras frecuentes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,50,Textos breves
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,46,Comprensión lectora
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,26,Escritura básica
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,16,Vocales y consonantes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,22,Palabras frecuentes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,74,Textos breves
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,35,Comprensión lectora
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,25,Escritura básica
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,18,Vocales y consonantes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,13,Palabras frecuentes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,78,Textos breves
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,6,Comprensión lectora
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,29,Escritura básica
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,88,Vocales y consonantes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,13,Palabras frecuentes
Amanda González Cortés,10000010-5,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,94,Textos breves
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-03-05,39,Números 1-20
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-03-07,51,Suma y resta básica
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,11,Figuras geométricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-04-11,87,Secuencias numéricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-05-13,76,Comparación de cantidades
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,93,Números 1-20
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-05-17,1,Suma y resta básica
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-06-19,92,Figuras geométricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,31,Secuencias numéricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-06-23,74,Comparación de cantidades
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-07-04,72,Números 1-20
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-07-06,55,Suma y resta básica
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,1,Figuras geométricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-08-10,55,Secuencias numéricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-09-12,5,Comparación de cantidades
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,21,Números 1-20
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-10-16,93,Suma y resta básica
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,tarea,2025-10-18,6,Figuras geométricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,87,Secuencias numéricas
Amanda González Cortés,10000010-5,1ro Básico,A,Matemáticas,prueba,2025-11-22,73,Comparación de cantidades
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,17,Seres vivos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,3,Plantas y partes
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,41,Cinco sentidos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,82,Ciclo del agua
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,80,Hábitat de animales
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,9,Seres vivos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,69,Plantas y partes
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,41,Cinco sentidos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,26,Ciclo del agua
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,12,Hábitat de animales
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,11,Seres vivos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,94,Plantas y partes
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,20,Cinco sentidos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,17,Ciclo del agua
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,64,Hábitat de animales
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,82,Seres vivos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,73,Plantas y partes
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,6,Cinco sentidos
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,100,Ciclo del agua
Amanda González Cortés,10000010-5,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,62,Hábitat de animales
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,79,Mi familia
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,34,Mi comunidad
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,86,Ubicación espacial
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,41,Tradiciones
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,30,Símbolos patrios
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,38,Mi familia
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,29,Mi comunidad
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,75,Ubicación espacial
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,23,Tradiciones
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,26,Símbolos patrios
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,97,Mi familia
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,14,Mi comunidad
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,18,Ubicación espacial
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,64,Tradiciones
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,29,Símbolos patrios
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,31,Mi familia
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,84,Mi comunidad
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,25,Ubicación espacial
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,2,Tradiciones
Amanda González Cortés,10000010-5,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,48,Símbolos patrios
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,63,Comprensión lectora
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,46,Escritura básica
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,2,Vocales y consonantes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,82,Palabras frecuentes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,45,Textos breves
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,26,Comprensión lectora
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,87,Escritura básica
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,13,Vocales y consonantes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,85,Palabras frecuentes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,44,Textos breves
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,64,Comprensión lectora
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,87,Escritura básica
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,60,Vocales y consonantes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,1,Palabras frecuentes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,92,Textos breves
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,64,Comprensión lectora
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,91,Escritura básica
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,72,Vocales y consonantes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,45,Palabras frecuentes
Diego González Figueroa,10000011-3,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,75,Textos breves
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-03-05,26,Números 1-20
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-03-07,19,Suma y resta básica
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,38,Figuras geométricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-04-11,56,Secuencias numéricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-05-13,93,Comparación de cantidades
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,59,Números 1-20
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-05-17,2,Suma y resta básica
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-06-19,7,Figuras geométricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,81,Secuencias numéricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-06-23,21,Comparación de cantidades
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-07-04,51,Números 1-20
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-07-06,47,Suma y resta básica
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,44,Figuras geométricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-08-10,30,Secuencias numéricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-09-12,56,Comparación de cantidades
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,87,Números 1-20
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-10-16,15,Suma y resta básica
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,tarea,2025-10-18,48,Figuras geométricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,60,Secuencias numéricas
Diego González Figueroa,10000011-3,1ro Básico,A,Matemáticas,prueba,2025-11-22,32,Comparación de cantidades
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,56,Seres vivos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,26,Plantas y partes
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,93,Cinco sentidos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,38,Ciclo del agua
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,100,Hábitat de animales
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,81,Seres vivos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,50,Plantas y partes
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,61,Cinco sentidos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,43,Ciclo del agua
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,92,Hábitat de animales
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,45,Seres vivos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,72,Plantas y partes
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,48,Cinco sentidos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,31,Ciclo del agua
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,44,Hábitat de animales
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,34,Seres vivos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,32,Plantas y partes
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,84,Cinco sentidos
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,100,Ciclo del agua
Diego González Figueroa,10000011-3,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,13,Hábitat de animales
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-03-05,94,Mi familia
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-03-07,59,Mi comunidad
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-04-09,66,Ubicación espacial
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-04-11,84,Tradiciones
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-05-13,58,Símbolos patrios
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-05-15,38,Mi familia
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-05-17,51,Mi comunidad
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-06-19,85,Ubicación espacial
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-06-21,84,Tradiciones
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-06-23,29,Símbolos patrios
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-07-04,50,Mi familia
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-07-06,19,Mi comunidad
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-08-08,30,Ubicación espacial
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-08-10,75,Tradiciones
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-09-12,1,Símbolos patrios
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-09-14,36,Mi familia
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-10-16,37,Mi comunidad
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,tarea,2025-10-18,54,Ubicación espacial
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,evaluacion,2025-11-20,42,Tradiciones
Diego González Figueroa,10000011-3,1ro Básico,A,Historia y Geografía,prueba,2025-11-22,11,Símbolos patrios
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-03-05,72,Comprensión lectora
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-03-07,85,Escritura básica
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-04-09,74,Vocales y consonantes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-04-11,66,Palabras frecuentes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-05-13,50,Textos breves
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-05-15,75,Comprensión lectora
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-05-17,42,Escritura básica
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-06-19,7,Vocales y consonantes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-06-21,59,Palabras frecuentes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-06-23,2,Textos breves
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-07-04,39,Comprensión lectora
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-07-06,60,Escritura básica
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-08-08,74,Vocales y consonantes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-08-10,39,Palabras frecuentes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-09-12,13,Textos breves
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-09-14,30,Comprensión lectora
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-10-16,41,Escritura básica
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,tarea,2025-10-18,80,Vocales y consonantes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,evaluacion,2025-11-20,51,Palabras frecuentes
Catalina González Jara,10000012-1,1ro Básico,A,Lenguaje y Comunicación,prueba,2025-11-22,70,Textos breves
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-03-05,61,Números 1-20
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-03-07,1,Suma y resta básica
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-04-09,24,Figuras geométricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-04-11,92,Secuencias numéricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-05-13,14,Comparación de cantidades
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-05-15,100,Números 1-20
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-05-17,63,Suma y resta básica
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-06-19,94,Figuras geométricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-06-21,38,Secuencias numéricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-06-23,16,Comparación de cantidades
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-07-04,43,Números 1-20
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-07-06,26,Suma y resta básica
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-08-08,97,Figuras geométricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-08-10,89,Secuencias numéricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-09-12,64,Comparación de cantidades
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-09-14,94,Números 1-20
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-10-16,43,Suma y resta básica
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,tarea,2025-10-18,12,Figuras geométricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,evaluacion,2025-11-20,46,Secuencias numéricas
Catalina González Jara,10000012-1,1ro Básico,A,Matemáticas,prueba,2025-11-22,32,Comparación de cantidades
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-03-05,78,Seres vivos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-03-07,13,Plantas y partes
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-04-09,82,Cinco sentidos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-04-11,87,Ciclo del agua
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-05-13,9,Hábitat de animales
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-05-15,76,Seres vivos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-05-17,63,Plantas y partes
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-06-19,86,Cinco sentidos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-06-21,83,Ciclo del agua
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-06-23,25,Hábitat de animales
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-07-04,68,Seres vivos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-07-06,99,Plantas y partes
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-08-08,56,Cinco sentidos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-08-10,37,Ciclo del agua
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-09-12,35,Hábitat de animales
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-09-14,49,Seres vivos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-10-16,50,Plantas y partes
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,tarea,2025-10-18,56,Cinco sentidos
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,evaluacion,2025-11-20,14,Ciclo del agua
Catalina González Jara,10000012-1,1ro Básico,A,Ciencias Naturales,prueba,2025-11-22,46,Hábitat de animales
